iter	Passed	Remaining
747	12482	4205
748	12495	4187
749	12512	4170
750	12526	4153
751	12540	4135
752	12554	4118
753	12571	4101
754	12587	4084
755	12606	4068
756	12620	4051
757	12635	4034
758	12650	4016
759	12667	4000
760	12681	3982
761	12696	3965
762	12711	3948
763	12726	3931
764	12746	3915
765	12763	3898
766	12781	3882
767	12795	3865
768	12809	3847
769	12824	3830
770	12839	3813
771	12854	3796
772	12868	3779
773	12882	3761
774	12902	3745
775	12917	3728
776	12931	3711
777	12945	3693
778	12959	3676
779	12974	3659
780	12989	3642
781	13005	3625
782	13023	3609
783	13040	3592
784	13058	3576
785	13074	3559
786	13089	3542
787	13106	3526
788	13121	3509
789	13135	3491
790	13149	3474
791	13163	3457
792	13177	3439
793	13194	3423
794	13208	3405
795	13222	3388
796	13241	3372
797	13256	3355
798	13272	3338
799	13287	3321
800	13303	3305
801	13317	3287
802	13334	3271
803	13350	3254
804	13368	3238
805	13382	3221
806	13395	3203
807	13409	3186
808	13423	3169
809	13437	3152
810	13452	3134
811	13466	3117
812	13485	3101
813	13501	3085
814	13515	3067
815	13530	3051
816	13544	3033
817	13559	3016
818	13574	2999
819	13588	2982
820	13603	2965
821	13623	2950
822	13639	2933
823	13654	2916
824	13672	2900
825	13688	2883
826	13703	2866
827	13717	2849
828	13731	2832
829	13745	2815
830	13762	2798
831	13778	2782
832	13793	2765
833	13810	2748
834	13824	2731
835	13838	2714
836	13855	2698
837	13873	2681
838	13890	2665
839	13909	2649
840	13930	2633
841	13946	2617
842	13962	2600
843	13978	2583
844	13993	2566
845	14007	2549
846	14021	2532
847	14037	2516
848	14053	2499
849	14068	2482
850	14082	2465
851	14096	2448
852	14110	2431
853	14125	2414
854	14142	2398
855	14158	2381
856	14178	2365
857	14195	2349
858	14213	2332
859	14229	2316
860	14245	2299
861	14261	2283
862	14277	2266
863	14292	2249
864	14311	2233
865	14331	2217
866	14350	2201
867	14367	2184
868	14383	2168
869	14399	2151
870	14414	2134
871	14428	2117
872	14443	2101
873	14459	2084
874	14476	2068
875	14499	2052
876	14519	2036
877	14538	2020
878	14556	2003
879	14574	1987
880	14592	1970
881	14612	1954
882	14630	1938
883	14650	1922
884	14667	1906
885	14683	1889
886	14698	1872
887	14713	1855
888	14749	1841
889	14765	1824
890	14780	1808
891	14793	1791
892	14807	1774
893	14821	1757
894	14835	1740
895	14850	1723
896	14866	1707
897	14880	1690
898	14895	1673
899	14909	1656
900	14923	1639
901	14938	1623
902	14954	1606
903	14969	1589
904	14983	1572
905	14998	1556
906	15013	1539
907	15027	1522
