iter	Passed	Remaining
609	24438	15624
610	24473	15581
611	24509	15538
612	24546	15496
613	24581	15453
614	24621	15413
615	24654	15369
616	24691	15326
617	24726	15283
618	24760	15240
619	24795	15197
620	24833	15156
621	24867	15112
622	24904	15070
623	24941	15028
624	24978	14986
625	25016	14946
626	25050	14902
627	25087	14860
628	25124	14818
629	25157	14775
630	25194	14733
631	25231	14691
632	25272	14652
633	25317	14615
634	25352	14572
635	25392	14532
636	25428	14490
637	25466	14449
638	25503	14408
639	25540	14366
640	25580	14326
641	25620	14287
642	25655	14243
643	25688	14200
644	25728	14160
645	25763	14118
646	25801	14077
647	25836	14034
648	25870	13991
649	25906	13949
650	25941	13906
651	25976	13864
652	26011	13822
653	26052	13782
654	26088	13741
655	26124	13699
656	26161	13658
657	26195	13615
658	26236	13576
659	26274	13535
660	26308	13492
661	26346	13451
662	26384	13411
663	26421	13369
664	26456	13327
665	26496	13287
666	26527	13243
667	26568	13204
668	26608	13165
669	26647	13124
670	26688	13085
671	26726	13045
672	26769	13006
673	26810	12967
674	26850	12927
675	26888	12887
676	26927	12847
677	26964	12806
678	27007	12768
679	27047	12728
680	27084	12687
681	27123	12647
682	27160	12606
683	27199	12566
684	27237	12525
685	27272	12483
686	27307	12441
687	27345	12400
688	27379	12358
689	27417	12317
690	27456	12277
691	27494	12237
692	27528	12195
693	27565	12154
694	27604	12114
695	27641	12073
696	27676	12031
697	27711	11989
698	27749	11949
699	27787	11908
700	27824	11868
701	27860	11826
702	27898	11786
703	27934	11745
704	27972	11704
705	28005	11662
706	28041	11621
707	28078	11580
708	28115	11539
709	28150	11497
710	28187	11457
711	28228	11418
712	28264	11377
713	28301	11336
714	28338	11295
715	28375	11254
716	28412	11214
717	28449	11173
718	28486	11133
719	28523	11092
720	28557	11050
721	28596	11010
722	28632	10969
723	28674	10931
724	28718	10893
725	28761	10854
726	28803	10816
727	28842	10776
728	28892	10740
729	28938	10703
730	28989	10667
731	29034	10630
732	29085	10594
733	29136	10558
734	29180	10520
735	29230	10484
736	29287	10451
737	29346	10418
738	29410	10387
739	29460	10350
740	29517	10317
741	29564	10279
742	29622	10246
743	29659	10205
744	29705	10167
745	29748	10128
746	29808	10095
747	29856	10058
748	29904	10021
749	29955	9985
750	30001	9947
751	30045	9908
752	30091	9870
753	30137	9832
754	30188	9796
755	30230	9756
756	30287	9722
757	30344	9687
758	30387	9648
759	30430	9609
760	30469	9569
761	30510	9529
762	30552	9490
763	30592	9449
764	30631	9409
765	30671	9369
766	30709	9329
767	30745	9287
768	30784	9247
769	30826	9207
